1,0.2773599083541452,-0.14764503760108794,-0.074099217529523725,0.18363088486567269,-0.016874527669306274,-0.082105068914954546,-0.08210506969657147,0.27735986187720779,-0.14764500127752594,-0.074099213388653939,0,0.13313749651429704,-0.0021064128533499708,-0.13313749651429704,7.8671809848548963e-06,0.085290362059523103,-0.084198458822136238,0.13313759631934199,0.0021064160209297205,-0.13313759631934199,-7.8672300236763007e-06,0.084198457449971217,-0.085290362827354985
-0.59722712345816942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1.762112584635221,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,-2.0000001881840017,-0.063661996125577186,-1.999999999999978,-0.06366197723675468,0.43453720809469581,-1.0903314107273683,0,0,0,0,0,0
-2.8485071834037821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,8.404491621605322,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,-2.0000001881840017,0.063661996125577186,-1.999999999999978,0.06366197723675468,1.0903314107273683,-0.43453720809469581,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.0000001881840017,-0.063662120719386386,-1.999999999999978,-0.063662101830540788,0.43453664788872026,-1.0903311874647839
-0.59722713090147006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1.7621126065966044,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.0000001881840017,0.063662120719386386,-1.999999999999978,0.063662101830540788,1.0903311874647839,-0.43453664788872026
0,0.14764503760108794,-0.2773599083541452,0.074099217529522921,0.016874527669306274,-0.18363088486567269,0.082105068914953644,0.082105069696570568,0.14764500127752594,-0.27735986187720779,0.074099213388653121,1,0.13313749651429704,-7.8671809848548963e-06,-0.13313749651429704,0.0021064128533499708,-0.085290362059522173,0.084198458822135322,0.13313759631934199,7.8672300236763007e-06,-0.13313759631934199,-0.0021064160209297205,-0.084198457449970301,0.085290362827354041
-0.68767521113075303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.13672035767983107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.0289787521012612,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-0.40339203190983869,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,-0,-6.9533833237583625e-15,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1.2199797429160481e-16,-1.2199797034766257e-16,-6.9533833237583625e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.68767520900094314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.13672035743931651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.028978745817279,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.40339203120020289,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,-0,-6.9533637567529483e-15,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,4.3616658180118431e-17,-4.3616652419842518e-17,-0,-6.9533637567529483e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1

